,scientific_name,red_list_category,year_published,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name
199,Vieja hartwegi,Endangered,2019,2017-10-23 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global,CHORDATA,ACTINOPTERYGII
200,Allotoca diazi,Critically Endangered,2019,2018-04-17 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global,CHORDATA,ACTINOPTERYGII
201,Chirostoma promelas,Endangered,2019,2018-10-01 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global,CHORDATA,ACTINOPTERYGII
202,Tampichthys catostomops,Near Threatened,2019,2018-12-05 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Nearctic,Global,CHORDATA,ACTINOPTERYGII
203,Chirostoma attenuatum,Endangered,2019,2018-04-09 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global,CHORDATA,ACTINOPTERYGII
204,Zoogoneticus tequila,Endangered,2019,2018-04-13 00:00:00 UTC,Increasing,Freshwater (=Inland waters),Neotropical,Global,CHORDATA,ACTINOPTERYGII
205,Herichthys steindachneri,Endangered,2019,2018-10-19 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Nearctic,Global,CHORDATA,ACTINOPTERYGII
206,Schistura personata,Near Threatened,2012,2011-10-10 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,ACTINOPTERYGII
207,Mastacembelus oatesii,Endangered,2012,2011-02-25 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,ACTINOPTERYGII
208,Schistura spiesi,Vulnerable,2012,2011-10-10 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,ACTINOPTERYGII
209,Palinurus elephas,Vulnerable,2014,2013-09-26 00:00:00 UTC,Decreasing,Marine,Palearctic,Global,ARTHROPODA,MALACOSTRACA
210,Dentex angolensis,Near Threatened,2014,2011-03-24 00:00:00 UTC,Unknown,Marine,,Global,CHORDATA,ACTINOPTERYGII
211,Cheimerius matsubarai,Vulnerable,2014,2009-12-04 00:00:00 UTC,Unknown,Marine,,Global,CHORDATA,ACTINOPTERYGII
212,Stenotomus chrysops,Near Threatened,2014,2011-05-26 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,ACTINOPTERYGII
213,Chrysoblephus laticeps,Near Threatened,2014,2009-12-02 00:00:00 UTC,Stable,Marine,,Global,CHORDATA,ACTINOPTERYGII
214,Acanthopagrus vagus,Vulnerable,2014,2009-12-04 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,ACTINOPTERYGII
215,Acanthopagrus chinshira,Near Threatened,2014,2009-12-03 00:00:00 UTC,Unknown,Marine,,Global,CHORDATA,ACTINOPTERYGII
216,Chrysoblephus cristiceps,Critically Endangered,2014,2009-12-02 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,ACTINOPTERYGII
217,Polysteganus praeorbitalis,Vulnerable,2014,2008-12-02 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,ACTINOPTERYGII
